shot_id,timestamp,x,y,z,vx,vy,vz
483,1.1,7.134755943258784,1.6116046681168532,0.07119341672229185,5.930149224210649,-5.586768382990601,-1.9614366655995303
483,1.15,7.431263404469316,1.3200037489673253,-0.026878416557684304,5.930149224210649,-6.0772683829905985,-1.9614366655995303
483,1.2,7.727770865679849,1.0038778298177942,-0.1249502498376609,5.930149224210649,-6.567768382990599,-1.9614366655995303
483,1.25,8.024278326890382,0.6632269106682642,-0.2230220831176375,5.930149224210649,-7.0582683829906,-1.9614366655995303
483,1.3,8.320785788100913,0.2980509915187337,-0.3210939163976141,5.930149224210649,-7.548768382990601,-1.9614366655995303
484,0.0,1.4537483457850184,1.820466783290436,-3.982516909430843,5.3843515337952885,5.395516168006337,3.6367631992658835
484,0.05,1.7229659224747829,2.077980091690753,-3.800678749467549,5.3843515337952885,4.905016168006337,3.6367631992658835
484,0.1,1.9921834991645473,2.31096840009107,-3.618840589504255,5.3843515337952885,4.414516168006337,3.6367631992658835
484,0.15,2.2614010758543115,2.5194317084913864,-3.4370024295409607,5.3843515337952885,3.924016168006337,3.6367631992658835
484,0.2,2.530618652544076,2.703370016891703,-3.255164269577666,5.3843515337952885,3.4335161680063364,3.6367631992658835
484,0.25,2.799836229233841,2.8627833252920203,-3.073326109614372,5.3843515337952885,2.9430161680063365,3.6367631992658835
484,0.3,3.069053805923605,2.997671633692337,-2.891487949651078,5.3843515337952885,2.4525161680063365,3.6367631992658835
484,0.35,3.338271382613369,3.1080349420926536,-2.709649789687784,5.3843515337952885,1.9620161680063366,3.6367631992658835
484,0.4,3.607488959303134,3.1938732504929708,-2.5278116297244893,5.3843515337952885,1.4715161680063362,3.6367631992658835
484,0.45,3.8767065359928985,3.2551865588932873,-2.345973469761195,5.3843515337952885,0.9810161680063363,3.6367631992658835
484,0.5,4.145924112682662,3.291974867293604,-2.164135309797901,5.3843515337952885,0.49051616800633635,3.6367631992658835
484,0.55,4.415141689372428,3.3042381756939214,-1.982297149834607,5.3843515337952885,1.6168006335526286e-05,3.6367631992658835
484,0.6,4.6843592660621916,3.291976484094238,-1.8004589898713128,5.3843515337952885,-0.4904838319936635,3.6367631992658835
484,0.65,4.953576842751956,3.2551897924945545,-1.6186208299080187,5.3843515337952885,-0.9809838319936643,3.6367631992658835
484,0.7,5.22279441944172,3.1938781008948713,-1.4367826699447246,5.3843515337952885,-1.4714838319936634,3.6367631992658835
484,0.75,5.492011996131485,3.1080414092951876,-1.2549445099814305,5.3843515337952885,-1.9619838319936633,3.6367631992658835
484,0.8,5.761229572821249,2.9976797176955046,-1.073106350018136,5.3843515337952885,-2.452483831993664,3.6367631992658835
484,0.85,6.030447149511014,2.862793026095822,-0.8912681900548423,5.3843515337952885,-2.942983831993663,3.6367631992658835
484,0.9,6.2996647262007786,2.7033813344961386,-0.7094300300915477,5.3843515337952885,-3.433483831993664,3.6367631992658835
484,0.95,6.568882302890542,2.519444642896455,-0.527591870128254,5.3843515337952885,-3.923983831993663,3.6367631992658835
484,1.0,6.838099879580307,2.310982951296772,-0.3457537101649595,5.3843515337952885,-4.414483831993664,3.6367631992658835
484,1.05,7.107317456270072,2.0779962596970893,-0.16391555020166493,5.3843515337952885,-4.904983831993665,3.6367631992658835
484,1.1,7.376535032959836,1.820484568097405,0.017922609761629182,5.3843515337952885,-5.3954838319936655,3.6367631992658835
484,1.15,7.6457526096496,1.5384478764977239,0.1997607697249224,5.3843515337952885,-5.885983831993663,3.6367631992658835
484,1.2,7.914970186339365,1.2318861848980394,0.3815989296882174,5.3843515337952885,-6.376483831993664,3.6367631992658835
484,1.25,8.18418776302913,0.9007994932983578,0.5634370896515115,5.3843515337952885,-6.8669838319936645,3.6367631992658835
484,1.3,8.453405339718895,0.545187801698674,0.7452752496148056,5.3843515337952885,-7.357483831993665,3.6367631992658835
485,0.0,0.5027351264739988,1.887768935352031,1.859000884808599,7.8911625567265675,7.108084535472674,-2.1424142991519797
485,0.05,0.8972932543103271,2.2309106621256647,1.751880169851,7.8911625567265675,6.617584535472674,-2.1424142991519797
485,0.1,1.2918513821466555,2.5495273888992984,1.644759454893401,7.8911625567265675,6.127084535472674,-2.1424142991519797
485,0.15,1.686409509982984,2.843619115672932,1.537638739935802,7.8911625567265675,5.636584535472674,-2.1424142991519797
485,0.2,2.0809676378193123,3.1131858424465655,1.430518024978203,7.8911625567265675,5.146084535472674,-2.1424142991519797
485,0.25,2.4755257656556404,3.3582275692201993,1.3233973100206042,7.8911625567265675,4.6555845354726735,-2.1424142991519797
485,0.3,2.870083893491969,3.578744295993833,1.2162765950630052,7.8911625567265675,4.165084535472674,-2.1424142991519797
485,0.35,3.264642021328297,3.774736022767467,1.1091558801054062,7.8911625567265675,3.674584535472674,-2.1424142991519797
485,0.4,3.6592001491646258,3.9462027495411003,1.0020351651478072,7.8911625567265675,3.1840845354726737,-2.1424142991519797
485,0.45,4.053758277000954,4.093144476314734,0.8949144501902082,7.8911625567265675,2.6935845354726737,-2.1424142991519797
485,0.5,4.448316404837282,4.215561203088368,0.7877937352326092,7.8911625567265675,2.203084535472674,-2.1424142991519797
485,0.55,4.842874532673611,4.313452929862002,0.6806730202750102,7.8911625567265675,1.712584535472673,-2.1424142991519797
485,0.6,5.237432660509939,4.386819656635636,0.5735523053174112,7.8911625567265675,1.222084535472674,-2.1424142991519797
485,0.65,5.631990788346267,4.435661383409268,0.4664315903598122,7.8911625567265675,0.7315845354726731,-2.1424142991519797
485,0.7,6.026548916182596,4.459978110182902,0.3593108754022134,7.8911625567265675,0.24108453547267406,-2.1424142991519797
485,0.75,6.421107044018925,4.459769836956536,0.2521901604446144,7.8911625567265675,-0.24941546452732588,-2.1424142991519797
485,0.8,6.815665171855253,4.435036563730169,0.14506944548701517,7.8911625567265675,-0.7399154645273267,-2.1424142991519797
485,0.85,7.210223299691581,4.385778290503804,0.037948730529416386,7.8911625567265675,-1.2304154645273258,-2.1424142991519797
485,0.9,7.60478142752791,4.311995017277438,-0.06917198442818262,7.8911625567265675,-1.7209154645273266,-2.1424142991519797
485,0.95,7.999339555364237,4.2136867440510715,-0.17629269938578163,7.8911625567265675,-2.2114154645273256,-2.1424142991519797
485,1.0,8.393897683200567,4.0908534708247055,-0.28341341434338063,7.8911625567265675,-2.7019154645273264,-2.1424142991519797
486,0.0,2.7844793625112176,1.8544185084588258,5.493766023177306,4.416376405626436,5.825376771004916,-5.314298317603881
486,0.05,3.0052981827925396,2.133424847009072,5.228051107297112,4.416376405626436,5.334876771004916,-5.314298317603881
486,0.1,3.2261170030738615,2.3879061855593178,4.962336191416918,4.416376405626436,4.844376771004916,-5.314298317603881
486,0.15,3.446935823355183,2.6178625241095634,4.6966212755367245,4.416376405626436,4.353876771004916,-5.314298317603881
486,0.2,3.667754643636505,2.823293862659809,4.43090635965653,4.416376405626436,3.863376771004916,-5.314298317603881
486,0.25,3.888573463917827,3.004200201210055,4.165191443776336,4.416376405626436,3.372876771004916,-5.314298317603881
486,0.3,4.109392284199148,3.1605815397603005,3.899476527896142,4.416376405626436,2.882376771004916,-5.314298317603881
486,0.35,4.33021110448047,3.2924378783105466,3.633761612015948,4.416376405626436,2.3918767710049162,-5.314298317603881
